Iterations, Xl, Xh, Xm, Error(%), f(Xm)
134,15.846559 ,20.000004 ,15.850109 ,0.000224 ,-0.000600 
135,15.850109 ,20.000004 ,15.853496 ,0.000214 ,-0.000572 
136,15.853496 ,20.000004 ,15.856727 ,0.000204 ,-0.000546 
137,15.856727 ,20.000004 ,15.859808 ,0.000194 ,-0.000521 
138,15.859808 ,20.000004 ,15.862747 ,0.000185 ,-0.000498 
139,15.862747 ,20.000004 ,15.865550 ,0.000177 ,-0.000475 
140,15.865550 ,20.000004 ,15.868224 ,0.000168 ,-0.000453 
141,15.868224 ,20.000004 ,15.870774 ,0.000161 ,-0.000433 
142,15.870774 ,20.000004 ,15.873206 ,0.000153 ,-0.000413 
143,15.873206 ,20.000004 ,15.875525 ,0.000146 ,-0.000394 
144,15.875525 ,20.000004 ,15.877737 ,0.000139 ,-0.000376 
145,15.877737 ,20.000004 ,15.879846 ,0.000133 ,-0.000358 
146,15.879846 ,20.000004 ,15.881857 ,0.000127 ,-0.000342 
147,15.881857 ,20.000004 ,15.883775 ,0.000121 ,-0.000326 
148,15.883775 ,20.000004 ,15.885604 ,0.000115 ,-0.000311 
149,15.885604 ,20.000004 ,15.887348 ,0.000110 ,-0.000297 
150,15.887348 ,20.000004 ,15.889011 ,0.000105 ,-0.000283 
151,15.889011 ,20.000004 ,15.890596 ,0.000100 ,-0.000270 
152,15.890596 ,20.000004 ,15.892108 ,0.000095 ,-0.000258 
153,15.892108 ,20.000004 ,15.893550 ,0.000091 ,-0.000246 
154,15.893550 ,20.000004 ,15.894924 ,0.000086 ,-0.000234 
155,15.894924 ,20.000004 ,15.896235 ,0.000082 ,-0.000224 
156,15.896235 ,20.000004 ,15.897484 ,0.000079 ,-0.000213 
157,15.897484 ,20.000004 ,15.898676 ,0.000075 ,-0.000203 
158,15.898676 ,20.000004 ,15.899811 ,0.000071 ,-0.000194 
159,15.899811 ,20.000004 ,15.900894 ,0.000068 ,-0.000185 
