
0, 100.000000
1, 0.311475
2, 0.134752
3, 0.072243
4, 0.037475
5, 0.018393
6, 0.009282
7, 0.004663
8, 0.002326
9, 0.001164
10, 0.000582
11, 0.000291
12, 0.000146
13, 0.000073
14, 0.000036
15, 0.000018
16, 0.000009
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
11, 0.00029
12, 0.00015
13, 0.00007
14, 0.00004
15, 0.00002
16, 0.00001
0, 100.00000
1, 0.31148
2, 0.13475
3, 0.07224
4, 0.03748
5, 0.01839
6, 0.00928
7, 0.00466
8, 0.00233
9, 0.00116
10, 0.00058
0, 100.00000
1, 0.33333
2, 0.14286
3, 0.07692
4, 0.04000
5, 0.01961
6, 0.00990
7, 0.00493
8, 0.00246
9, 0.00123
10, 0.00061
11, 0.00031
12, 0.00015
13, 0.00008
